Date;Time;T1;H1;T2;H2;ch1.12CO2;ch2.12CO2;ch2.13CO2
19.09.2021;06:23:45;17.872314;70.010376;17.949219;71.102905;436.384216;472.548584;19.272423
19.09.2021;06:23:55;17.780762;69.979858;17.919922;71.047974;436.536804;474.684906;19.577646
19.09.2021;06:24:05;17.791748;69.848633;17.868652;70.932007;435.697449;473.311615;19.577646
19.09.2021;06:24:15;17.854004;69.793701;17.883301;70.855713;434.55304;473.235321;18.509483
19.09.2021;06:24:25;17.857666;69.680786;17.883301;70.767212;435.315979;473.540497;19.501352
19.09.2021;06:24:35;17.791748;69.540405;17.875977;70.697021;434.781921;473.387909;18.662071
19.09.2021;06:24:45;17.802734;69.37561;17.894287;70.596313;435.773743;473.845673;19.577646
19.09.2021;06:24:55;17.817383;69.296265;17.883301;70.407104;435.544861;475.676727;19.425058
19.09.2021;06:25:05;17.810059;69.213867;17.890625;70.297241;436.384216;473.845673;18.814659
19.09.2021;06:25:15;17.799072;69.192505;17.883301;70.266724;436.689392;474.608612;19.272423
19.09.2021;06:25:25;17.788086;69.171143;17.883301;70.239258;436.613098;474.074554;20.798397
19.09.2021;06:25:35;17.839355;69.143677;17.890625;70.205688;436.384216;475.981903;20.340586
19.09.2021;06:25:45;17.791748;69.140625;17.890625;70.162964;435.392273;473.769379;19.577646
19.09.2021;06:25:55;17.799072;69.140625;17.897949;70.187378;435.621155;473.845673;18.890953
19.09.2021;06:26:05;17.799072;69.198608;17.879639;70.184326;435.850037;475.676727;21.027279
19.09.2021;06:26:15;17.791748;69.259644;17.923584;70.24231;436.155212;473.616791;19.65394
19.09.2021;06:26:25;17.791748;69.274902;17.894287;70.233154;436.231506;480.178162;19.348717
19.09.2021;06:26:35;17.810059;69.3573;17.875977;70.309448;436.078918;486.129395;19.730234
19.09.2021;06:26:45;17.7771;69.500732;17.883301;70.367432;436.155212;481.551544;19.730234
19.09.2021;06:26:55;17.806396;69.589233;17.890625;70.513916;434.934509;481.780426;20.111704
